transType,value,input,context
Payment,848.7099,,"46,41096.55499999998,480243,19533.537664349104"
New-Order,9942.731453444998,"1,1,2685,0,10592,7,13774,7,19419,4,12510,8,7618,3,2310,4","58,38347.85137931035,480265,19533.000478360926"
New-Order,3289.49189975392,"13,9,2687,0,23117,2,54998,7,28670,10,39764,2,59291,8,27667,7,25026,7,32662,9,56850,9,51661,1,30998,7,55822,9,47606,1","56,38882.960535714294,480265,19533.000478360926"
New-Order,677.4448653364698,"8,4,2172,0,72785,2,71236,7,94256,9,78132,5,80598,4,63507,3,67093,6,89141,4,97341,5","53,40930.13792452832,480265,19533.000478360926"
Payment,1048.0832999999998,,"50,36833.45320000002,480262,19533.110468348543"
New-Order,673.7596140962397,"15,7,703,0,65300,1,75322,5,93843,8,65532,6,72757,8,78256,1,85846,9,89106,3,89109,10,83469,4,65365,8,85046,1,88886,1,76210,6,84753,6","54,40195.40574074075,480264,19533.03853742943"
Payment,789.9849,,"54,40195.40574074075,480264,19533.03853742943"
Delivery,3181.81,"3,0,0","58,38133.521724137936,480266,19532.98906097873"
Payment,35624.1402,,"57,38946.760175438605,480265,19533.000478360926"
Payment,4266.375300000001,,"49,38111.964693877555,480259,19533.16924261702"
Payment,2679.2046,,"57,38726.318245614035,480268,19532.91887348316"
New-Order,2634.3822087680996,"15,6,2687,0,32786,6,40950,7,57078,8,43014,4,57106,4,20950,2,40321,9,40822,3,27924,1,32268,8,36869,10,24514,3,47316,6,36834,8","60,37235.292499999996,480269,19532.8808968724"
Payment,1250.7452999999998,,"53,35345.25320754718,480262,19533.110468348543"
New-Order,3151.4413116069104,"13,2,2174,0,40849,7,47057,6,56821,2,45074,2,44678,2,57366,6,20883,5,23301,4,43022,10,32002,5,36612,6,39944,9","58,38076.68844827586,480267,19532.95736275865"
New-Order,722.3305467924001,"4,6,1066,0,72787,1,76622,5,80466,3,79117,9,74698,2,72269,8,80914,8,63506,9,80070,7,91174,1,80888,5,72630,8,84933,3,92498,10","58,38133.521724137936,480266,19532.98906097873"
New-Order,468.74904218604,"8,3,1663,0,71637,3,88870,3,65042,3,64022,7,75550,2,86478,1,72774,5","59,37840.88745762712,480269,19532.8808968724"
Order-Status,1819.67,"8,8,0,PRESABLEESE","59,37112.04881355931,480274,19532.792218795956"
Payment,3922.1090999999997,,"57,38726.318245614035,480268,19532.91887348316"
Payment,9872.223300000001,,"59,37840.59186440678,480268,19532.91887348316"
New-Order,17455.90841292032,"3,1,1343,0,19916,4,13789,8,11414,4,13661,10,19668,4,5493,10,1382,2,11056,5,9894,3,8990,5,14741,2,13688,10","58,37744.16965517241,480271,19532.893160673895"
Payment,38086.677899999995,,"53,40907.49000000001,480263,19533.077027274656"
Delivery,8742.7075,"8,0,0","57,38313.942280701754,480272,19532.86345716596"
New-Order,532.8761727258197,"3,10,1078,0,63410,1,65169,10,86604,7,79781,7,68674,8,94289,10,89685,10,97094,8,80837,1","57,38313.942280701754,480272,19532.86345716596"
New-Order,21595.44714487713,"15,5,1525,0,17800,2,1886,9,18846,7,13758,5,2942,8,2918,3,2722,2,4516,3,10644,10,9588,3","59,37849.86881355932,480270,19532.84225695965"
New-Order,658.0336508592,"13,6,2614,0,77430,7,77716,3,61326,5,86317,10,67204,5,65046,6,93268,7,89045,2","57,38380.856140350865,480274,19532.792218795956"
New-Order,832.4887930741197,"4,4,699,0,28662,3,56978,4,57250,2,36351,4,38654,2,24496,6,40966,3,56341,6,23302,1,22912,2","58,37740.343103448264,480274,19532.792218795956"
Payment,1185.4754999999996,,"56,38994.472678571416,480274,19532.792218795956"
Payment,1880.0829000000003,,"56,38939.05446428571,480273,19532.829673873006"
Stock-Level,4212.537000000001,"6,8","59,37840.88745762712,480269,19532.8808968724"
Stock-Level,6358.3380000000025,"1,2","58,38410.2274137931,480268,19532.91887348316"
Order-Status,24038.33,"6,8,0,ANTIATIONATION","59,37132.12254237287,480279,19532.73011178921"
Order-Status,1338.47,"6,7,885,null","59,37132.12254237287,480279,19532.73011178921"
Order-Status,34799.71,"6,1,0,ATIONCALLYOUGHT","59,37132.12254237287,480279,19532.73011178921"
Payment,2423.0502,,"58,37668.42706896551,480275,19532.761630732413"
Payment,241599.63150000005,,"55,39495.627454545465,480265,19533.000478360926"
New-Order,973.0643066475797,"3,7,2621,0,93254,8,89086,5,86740,10,80885,1,93842,5,80904,4,92110,10,86966,8,97042,3,74662,10","58,38029.89310344827,480276,19532.74633779329"
New-Order,448.53245934,"15,7,1831,0,97346,2,74758,4,71766,7,97158,8,79830,5,65554,2,65310,6","59,37149.040508474565,480277,19532.803571105862"
Payment,1163.2491,,"57,37872.16157894736,480277,19532.803571105862"
Payment,10899.4896,,"58,37239.962413793095,480277,19532.803571105862"
Delivery,3942.8875,"8,0,0","59,37112.04881355931,480274,19532.792218795956"
New-Order,2419.1745038999998,"8,2,2942,0,51989,9,57106,3,30674,5,43348,8,23497,10,48844,9,40470,6","57,37872.16157894736,480277,19532.803571105862"
New-Order,727.8615034916401,"13,5,607,0,32790,2,57340,9,40982,4,42742,3,32661,1","57,38115.453333333324,480276,19532.74633779329"
Order-Status,841.8600000000001,"4,5,1149,null","57,33149.69578947367,480281,19533.276036174677"
Payment,3361.4432999999995,,"59,37132.12254237287,480279,19532.73011178921"
Payment,1238.5548000000003,,"60,36545.27149999999,480277,19532.803571105862"
Payment,1509.4998,,"59,37132.12254237287,480279,19532.73011178921"
New-Order,10998.569967379748,"13,10,2079,0,12510,9,5028,6,11613,3,2947,2,11198,10,6278,9,2470,8,11172,4,13788,3","59,31879.53525423727,480283,19533.225702762767"
New-Order,705.102132735,"8,2,1550,0,89170,10,89166,5,75604,6,63506,7,78822,10","57,32922.82649122805,480283,19533.225702762767"
New-Order,2583.233199380399,"15,8,1595,0,31413,9,54646,4,49172,7,25411,1,24342,6,57101,8,57102,9,24517,2,49046,9,59216,7,39702,2,57331,8,28053,3,52115,8,49173,5","58,37720.75534482757,480280,19532.695670817044"
New-Order,1141.1833958078398,"8,3,2677,0,97361,3,95953,7,87830,6,96971,2,93074,8,89174,3,80437,4,93263,6,78403,10,65350,10,71632,8,96300,7,67158,3,72678,4","58,32409.414482758602,480283,19533.225702762767"
Payment,16549.984800000002,,"60,36551.938666666654,480278,19532.76594861728"
New-Order,499.9102577727999,"4,1,2079,0,60065,8,77875,2,76813,5,65274,10,94230,9,84890,2,74806,9,88977,7,63380,4","59,31879.53525423727,480283,19533.225702762767"
Payment,1691.5311000000002,,"60,36551.938666666654,480278,19532.76594861728"
Order-Status,1364.94,"8,7,2431,null","59,31975.136610169477,480287,19533.121268887167"
Payment,1884.4407000000003,,"59,32059.209830508462,480281,19533.276036174677"
Payment,37457.70480000001,,"57,32898.483684210514,480285,19533.156186868237"
Payment,655.7435999999999,,"59,32294.064406779646,480286,19533.119397171708"
New-Order,872.9436005250799,"11,4,2299,0,25300,2,32150,2,43734,9,22213,4,32368,9,27659,9","57,32922.82649122805,480283,19533.225702762767"
New-Order,17455.637212608,"13,4,2655,0,2782,7,13502,3,9372,10,13443,10,13630,6","57,33320.442105263144,480286,19533.119397171708"
New-Order,2144.98773366528,"3,9,2666,0,25412,10,48626,10,48912,10,32530,8,31756,8,27924,9,38806,3,46532,5,42902,8","59,32059.209830508462,480281,19533.276036174677"
New-Order,10102.036321981448,"6,3,1880,0,3686,3,15758,5,2790,5,13516,2,19468,6,13790,4,17850,6","56,33452.67839285713,480286,19533.119397171708"
New-Order,654.6838765656,"4,5,2167,0,88334,7,63508,7,76878,5,85078,9,91916,8,72786,5,71757,7,72661,10","59,31955.500847457613,480288,19533.084947323292"
Order-Status,3223.8500000000004,"3,8,579,null","59,31606.327288135577,480291,19533.065752408453"
Order-Status,2163.4800000000005,"15,4,0,OUGHTANTIEING","56,32785.61499999998,480291,19533.065752408453"
Payment,15452.572500000006,,"58,32466.34620689654,480289,19533.049121778782"
Payment,3254.8473000000004,,"57,32922.82649122805,480283,19533.225702762767"
New-Order,708.2171114547199,"13,9,2613,0,47510,8,49110,3,55286,1,32532,4,32271,6","58,32077.568448275844,480291,19533.065752408453"
New-Order,1275.5548664947196,"3,10,1080,0,95220,8,65014,5,72739,8,78918,2,75820,6,66773,7,88866,8,93780,6,70709,7,75278,8,89174,3,67410,7,89158,10","61,30818.509180327856,480291,19533.065752408453"
New-Order,1229.7260089401,"15,10,583,0,40828,9,48402,10,49168,2,46806,7,31626,9,40726,6,40982,2","61,30818.509180327856,480291,19533.065752408453"
Payment,774.7245,,"59,31955.500847457613,480288,19533.084947323292"
New-Order,1028.5833694796797,"4,4,705,0,27528,4,46855,10,24529,3,24972,6,38898,9,59276,7,30229,7","61,30818.509180327856,480291,19533.065752408453"
New-Order,2896.1308142150997,"6,9,895,0,32454,2,38378,8,40918,10,45057,8,53206,5,36742,4,31893,3,38135,3,32165,7,36886,4,32623,6,52910,3,40982,5","61,30818.509180327856,480291,19533.065752408453"
Order-Status,467.97,"15,10,0,ANTIEINGOUGHT","62,30041.67419354837,480293,19533.032500723533"
Payment,15452.572500000006,,"57,32224.631578947356,480290,19533.10473615942"
New-Order,814.1337509577999,"15,9,1843,0,75796,10,61196,10,92189,10,97312,2,93270,8,65606,3,95686,8,97362,10,72790,3,88118,4,72692,4","60,31014.19683333332,480292,19533.064803369634"
Payment,3238.6392000000005,,"59,31955.500847457613,480288,19533.084947323292"
New-Order,22015.821668873752,"3,8,1783,0,11726,5,10718,1,9694,9,13368,9,7974,6,13784,1,2470,2,7448,6,6532,9,16814,4,15834,2,13394,2,2976,8","59,31471.75389830507,480293,19533.032500723533"
New-Order,946.820672854,"13,2,699,0,65558,4,80435,6,87118,5,64694,8,80948,10,94478,4,64490,7,60342,2,70742,3,96530,6,80084,10,68606,10,76106,2,80949,3","57,32898.483684210514,480285,19533.156186868237"
New-Order,0.0,"15,9,671,0","62,29774.513870967723,480296,19532.960530360462"
Delivery,8248.647500000001,"6,0,0","63,29650.510634920618,480294,19532.993823199977"
New-Order,336.8320238052,"8,9,2679,0,88405,1,97097,5,65549,6,97364,5,88116,6,97354,3","62,30066.49532258063,480294,19532.993823199977"
New-Order,21799.83166516512,"4,4,893,0,19796,10,5002,8,13022,8,2917,9,17885,7,7590,6,5092,6,17244,10,4334,3,9390,8","62,30066.49532258063,480294,19532.993823199977"
Stock-Level,4256.147,"15,7","57,38337.44912280701,480274,19532.792218795956"
Payment,1596.1374,,"65,28893.097230769217,480296,19532.960530360462"
Payment,1238.5548000000003,,"59,37132.12254237287,480279,19532.73011178921"
New-Order,16651.60186500608,"3,1,1630,0,7076,10,2918,1,6022,4,7982,9,19528,5,1446,2,13726,6,4958,8,10660,8,13661,4,2662,7,10310,1","62,30041.67419354837,480293,19533.032500723533"
New-Order,1131.6886903648199,"1,4,2650,0,36502,7,57342,1,28502,2,40278,6,32518,10,49154,2","62,29821.047096774175,480295,19532.992874316846"
New-Order,1397.0495593282901,"13,8,2681,0,71254,7,78550,3,96078,7,97326,5,81748,6,71251,10,88918,7,74792,6,72662,1,71632,2,72278,5,67156,4,65493,2,89046,9,95279,5","60,30971.819499999983,480293,19533.032500723533"
New-Order,343.5455696399999,"3,8,1471,0,72198,10,62422,7,93236,6,70728,3,78838,7,97099,7","63,29790.51539682538,480296,19532.960530360462"
Payment,20531.256299999997,,"62,29774.513870967723,480296,19532.960530360462"
New-Order,24225.15374058304,"6,7,2175,0,10022,9,8989,4,1958,9,9566,4,2980,10,2460,8,11194,10,11670,9,2847,1,13650,7,9594,5,13624,8,13790,1","65,28893.097230769217,480296,19532.960530360462"
Payment,753.1380000000001,,"67,28551.751940298494,480296,19532.960530360462"
Stock-Level,3095.6730000000002,"11,5","58,32077.568448275844,480291,19533.065752408453"
Payment,1636.7589000000003,,"68,28601.126029411753,480298,19532.886479872934"
Payment,3126.1625999999997,,"67,29001.82238805969,480298,19532.886479872934"
Payment,2181.4677,,"58,32763.76586206895,480286,19533.119397171708"
New-Order,27974.962156328875,"15,7,1390,0,8146,5,10188,9,2969,6,9556,9,13780,10,13532,3,2980,4,18459,9,9374,8","65,29376.427076923064,480298,19532.886479872934"
Order-Status,412.55,"15,1,0,PRESPRIPRI","66,30283.671515151498,480303,19532.755699756213"
New-Order,1129.3250095455996,"11,8,1663,0,40942,4,32721,5,25558,3,25520,6,38776,5,48850,2,57237,2,25430,8,39794,1","68,28990.099558823513,480300,19532.85985330004"
Payment,303.75,,"68,28990.099558823513,480300,19532.85985330004"
Delivery,24251.927499999998,"4,0,0","69,28583.42855072462,480299,19532.898585547773"
Payment,785.2788,,"65,29376.427076923064,480298,19532.886479872934"
New-Order,24041.02978483598,"8,1,2489,0,4004,10,19422,5,11732,10,13250,6,8331,5,2549,9,12728,5,13534,10,13438,3","66,28462.409696969684,480296,19532.960530360462"
Payment,2114.6508000000003,,"59,31975.136610169477,480287,19533.121268887167"
Payment,521.5913999999999,,"66,29779.494242424225,480302,19532.79076016758"
New-Order,1014.72228393648,"8,9,2623,0,93270,9,80563,2,65333,8,84272,8,89046,4,85074,8,75846,6,87354,10,76758,2,65258,5,80406,2","66,30283.671515151498,480303,19532.755699756213"
Stock-Level,5902.778,"3,8","69,28198.036521739115,480298,19532.886479872934"
Delivery,12188.310000000001,"4,0,0","66,30840.028939393924,480305,19532.677164176945"
Payment,836.001,,"69,28583.42855072462,480299,19532.898585547773"
New-Order,646.5300797591999,"6,1,20,0,80968,10,69822,8,97213,1,70100,7,90545,2,79825,3,60688,5,67556,6,72786,2,96290,10","65,30763.28676923075,480305,19532.677164176945"
New-Order,28243.390504454994,"3,2,1522,0,14173,1,19483,9,19293,1,12538,4,9626,5,16686,7,13273,4,2662,9,12510,4,9022,10,6560,2,9427,10","66,29779.494242424225,480302,19532.79076016758"
Stock-Level,6398.9310000000005,"1,2","67,29001.82238805969,480298,19532.886479872934"
Payment,1236.1329000000003,,"66,30283.671515151498,480303,19532.755699756213"
Payment,3410.1405,,"65,31281.291999999987,480307,19532.60260616649"
New-Order,3236.75026491432,"3,5,2926,0,48454,7,44550,8,40941,7,57366,2,57302,8,39685,6,21658,9,32374,9,39694,5,32598,8,25302,6,22902,10,45060,10,22739,9","65,31281.291999999987,480307,19532.60260616649"
Payment,1655.8425,,"67,28551.751940298494,480296,19532.960530360462"
New-Order,23759.48062197528,"4,5,677,0,2758,7,9436,9,9605,6,13514,10,9262,5,17858,2,2974,8,16850,5,9121,7,11991,6","66,30311.865454545437,480304,19532.715813026767"
Payment,805.023,,"67,29865.046567164165,480303,19532.755699756213"
Payment,4360.7970000000005,,"65,31281.291999999987,480307,19532.60260616649"
New-Order,14747.908310466239,"3,8,2605,0,9021,1,8110,8,19910,1,2724,6,15774,5,2717,5,15827,4,2660,1,2822,10,2469,10,13265,1,12445,1,9638,6,18598,2","66,31297.0118181818,480308,19532.564088168445"
New-Order,462.74736439301995,"15,1,1391,0,84940,8,89110,2,63118,8,84036,2,96734,9,78787,10,72658,4,83014,10,72534,8","64,32185.41624999998,480310,19532.494697591155"
Payment,1237.8906,,"65,31281.291999999987,480307,19532.60260616649"
New-Order,1036.9739460864,"8,8,319,0,49046,9,53270,4,45969,7,49098,4,48790,5,44688,3","64,32185.41624999998,480310,19532.494697591155"
Payment,25819.2117,,"64,31753.935624999984,480308,19532.564088168445"
Payment,537.7671000000001,,"65,31281.291999999987,480307,19532.60260616649"
New-Order,2077.2499575239995,"1,1,1389,0,40628,5,57350,5,39818,3,49157,10,25347,4,46789,5,53222,3,25542,5,55309,5,54294,2,20690,6,40406,6","66,31297.0118181818,480308,19532.564088168445"
Order-Status,638.64,"15,10,53,null","65,32651.874615384597,480313,19532.390026128814"
New-Order,1179.3188837422301,"11,3,2670,0,49173,1,36734,5,55302,4,30898,9,40150,7,49133,7,51649,1","64,32718.52234374998,480312,19532.419483419126"
Payment,1594.6794000000002,,"64,32718.52234374998,480312,19532.419483419126"
Stock-Level,14998.655,"15,2","63,29650.510634920618,480294,19532.993823199977"
New-Order,2833.2856793283,"15,10,583,0,57358,7,29110,9,40301,7,23366,2,25038,10,28542,4,24022,7,20686,2,25426,7,40946,9,56010,7,40962,10,26324,2","64,32708.637343749982,480316,19532.338956770145"
Payment,21497.424300000002,,"63,33152.408412698394,480313,19532.390026128814"
Payment,26853.897600000008,,"64,33138.18109374998,480314,19532.35254204543"
Payment,32371.983000000004,,"66,30840.028939393924,480305,19532.677164176945"
Payment,34440.8274,,"63,33177.4049206349,480316,19532.338956770145"
Stock-Level,4212.537000000001,"6,8","65,31279.481230769212,480308,19532.564088168445"
Payment,483.67530000000005,,"65,32657.16907692306,480314,19532.35254204543"
Payment,1501.5780000000002,,"64,32708.83499999998,480317,19532.30239008823"
New-Order,1059.6861817331999,"6,9,471,0,37825,10,24990,5,25995,10,56156,6,37374,9","64,32669.38156249998,480315,19532.378240217375"
Stock-Level,2298.947,"13,9","64,29344.551874999986,480296,19532.960530360462"
Stock-Level,4758.25,"15,7","64,32245.93078124998,480311,19532.458287338846"
Payment,947.4732,,"65,31781.28953846152,480310,19532.458287338846"
Payment,1219.2039,,"64,32708.637343749982,480316,19532.338956770145"
New-Order,3023.4189488798397,"15,2,686,0,59110,1,48852,3,56278,6,31606,9,40982,4,46612,10,36834,5,53262,1,49166,8,32694,5,36886,4,25302,2","64,32376.719062499982,480318,19532.31697985503"
Payment,1516.644,,"65,32235.910461538442,480316,19532.338956770145"
Payment,26022.1248,,"64,32708.83499999998,480317,19532.30239008823"
New-Order,12912.6738339088,"13,2,1055,0,18718,5,8509,8,17886,8,13267,3,8238,6,2726,9","63,32364.39777777776,480319,19532.345337348735"
New-Order,1255.9929897752997,"6,2,1634,0,49173,8,42944,1,52242,8,48662,7,49170,5,55237,10","60,32672.20599999998,480323,19532.3511874926"
Payment,932.9094,,"64,32376.719062499982,480318,19532.31697985503"
New-Order,4226.95992900762,"13,5,1375,0,57349,8,45078,7,30230,6,30388,7,46806,9,31124,10,24527,8,32086,1,38890,8,48542,10,36229,3,43764,9,30444,8,43638,5,49139,7","60,32672.20599999998,480323,19532.3511874926"
Payment,3200.6664,,"59,33186.741016949134,480323,19532.3511874926"
Payment,24933.914099999998,,"61,32138.830327868836,480321,19532.427415207767"
New-Order,1012.3609080685096,"3,7,1151,0,44950,6,40958,5,22965,5,35861,4,32526,3,32590,1","59,33206.14644067794,480324,19532.31295781599"
Payment,901.7406,,"61,32138.830327868836,480321,19532.427415207767"
New-Order,550.3938932568998,"1,4,172,0,64502,10,78118,8,70473,5,72770,1,64533,4,64458,7","58,33752.714655172385,480325,19532.275426721506"
Payment,978.6690000000001,,"61,32138.830327868836,480321,19532.427415207767"
New-Order,604.8649771163997,"6,8,1151,0,64534,8,99339,8,62461,5,76342,8,88142,2,67204,8,71702,9,72277,4,65429,5","59,33049.58474576267,480327,19532.264879592458"
New-Order,466.47211409847995,"4,8,1023,0,88909,10,80971,8,71601,5,65526,3,88758,10,76067,7","58,33599.547586206856,480328,19532.226612981143"
New-Order,1604.6920691760001,"4,9,1241,0,31701,7,59650,5,40957,10,23474,5,38902,8,22353,2,36881,9,53238,5","58,33642.962241379275,480329,19532.194175242403"
Payment,26273.565000000002,,"58,33583.7965517241,480327,19532.264879592458"
Delivery,17702.63,"8,0,0","57,33689.33315789471,480332,19532.14085107802"
Payment,31050.459000000003,,"60,32672.20599999998,480323,19532.3511874926"
Payment,32371.983000000004,,"64,33146.12609374998,480313,19532.390026128814"
New-Order,378.94064953584007,"1,6,1615,0,64461,1,86100,5,88146,6,88597,4,96334,1,87122,6,76854,7","58,33689.33315789471,480332,19532.14085107802"
Payment,38962.557,,"57,33811.88157894734,480327,19532.264879592458"
Payment,708.5799000000001,,"59,32581.480847457606,480332,19532.14085107802"
New-Order,1582.9516291276798,"4,3,2642,0,25022,4,27373,4,26640,10,24214,9,56822,7","60,32089.655999999977,480332,19532.14085107802"
Payment,2572.7868000000003,,"59,32581.480847457606,480332,19532.14085107802"
Payment,1756.5498,,"59,31976.016551724115,480334,19532.20685956024"
New-Order,509.5905931423999,"3,9,1151,0,88614,4,65022,9,94134,8,70498,9,93142,3,79946,5,93270,7,89037,8","57,31905.966491228042,480335,19532.241078726325"
Payment,1062.2096999999999,,"58,33782.81603448273,480326,19532.264879592458"
New-Order,13828.440974406447,"15,5,1629,0,19357,8,2466,10,2930,5,11726,10,11742,3,13160,6,2909,3","57,31153.893333333304,480336,19532.290543036557"
Payment,638.2395000000001,,"59,33186.741016949134,480323,19532.3511874926"
New-Order,18595.085712752636,"4,3,1663,0,9658,6,15581,8,11738,6,13782,10,2546,8,11835,2,13436,3,17428,5,8510,4,13200,2","57,31173.647192982426,480337,19532.25170051445"
New-Order,2730.183349376,"11,9,2638,0,36886,2,49043,4,57006,3,39822,10,32373,8,52244,5,25486,9,55956,4,21334,10,25809,10,47730,7","56,31999.90821428569,480340,19532.143567681247"
New-Order,485.6640238295999,"3,3,1658,0,97281,1,88132,4,66646,6,72693,8,76861,6,80942,1,60546,9,72774,1,72262,10,72758,1,76194,3,70614,3","56,31647.417499999974,480339,19532.18150083589"
New-Order,1109.0188550313596,"3,8,1519,0,36885,2,56005,10,49108,6,40726,7,32789,4","57,33696.03070175436,480331,19532.1792511206"
New-Order,413.56863595991996,"6,7,2645,0,77909,1,70294,2,75830,6,66262,2,79923,2,66006,8,97601,1,93956,6","57,31173.647192982426,480337,19532.25170051445"
Payment,31050.459000000003,,"57,33693.14385964909,480330,19532.2175975059"
New-Order,334.7183782487999,"8,9,630,0,90036,2,65350,7,80786,3,82004,9,97318,1,88914,7","55,32210.05509090906,480339,19532.18150083589"
New-Order,1096.9548672700798,"4,9,1335,0,76334,7,72790,4,65533,8,78774,10,87126,5,76579,3,88908,8,80982,8,96339,7,81588,1,74562,8,64790,4,71446,3","56,31673.600178571396,480338,19532.217649550963"
Payment,2130.5106000000005,,"55,32567.39836363634,480341,19532.104545000348"
Stock-Level,7391.769000000002,"8,6","57,33689.33315789471,480332,19532.14085107802"
Payment,591.5106,,"56,32433.05589285712,480341,19532.104545000348"
Payment,32245.443000000003,,"59,32083.77728813557,480333,19532.16771652168"
Payment,3356.2188000000006,,"59,30896.733220338963,480341,19532.104545000348"
New-Order,901.9625292188001,"11,4,2615,0,93205,8,78675,1,80274,6,71750,1,79957,5,95814,6,79318,8,84908,3,99660,9,89966,9","57,31935.900526315767,480341,19532.104545000348"
New-Order,25583.283567418497,"6,3,1919,0,12757,1,2906,5,9548,8,13246,9,11742,2,7643,3,1442,4,13787,9,6494,6,2981,1,18892,10,13700,8,16348,10,12766,8","60,29764.42716666665,480342,19532.1436875185"
New-Order,1743.38662858752,"4,3,2303,0,44533,7,40566,6,24982,3,40694,9,46998,4,40917,1,37905,8,40982,6","61,29302.532622950803,480342,19532.1436875185"
Order-Status,251.14,"13,7,1151,null","57,30598.635438596477,480346,19532.071247434164"
Payment,1619.1009000000001,,"60,29747.070499999983,480343,19532.108500404942"
Payment,46745.352000000006,,"57,31905.966491228042,480335,19532.241078726325"
Payment,2021.2416,,"58,31399.765517241358,480341,19532.104545000348"
New-Order,287.05926631423995,"3,1,348,0,65518,7,97236,8,89174,2,70066,8,92242,2,66564,1","57,30598.635438596477,480346,19532.071247434164"
New-Order,6309.0809800704,"8,1,701,0,1930,4,8981,6,11669,1,9113,1,1925,8,11998,7,2598,1,10526,2","60,29764.42716666665,480342,19532.1436875185"
New-Order,343.01123144091997,"4,1,1531,0,71750,4,65042,2,89684,3,93261,10,89098,1,93013,4,93142,6","60,29787.65866666665,480346,19532.071247434164"
New-Order,27877.9048468998,"6,4,2526,0,15566,10,11168,1,13788,1,9350,3,12254,9,10573,9,2964,8,2949,9,16826,3,10838,3,12766,1,17885,9,1108,7,13789,4,9142,3","59,30256.94016949151,480342,19532.1436875185"
Payment,1062.2096999999999,,"58,33642.962241379275,480329,19532.194175242403"
New-Order,1554.9850945691996,"11,6,1523,0,40168,1,28678,5,37645,6,30453,3,53230,7,26390,7,56596,3,22998,2,49133,10","58,30093.838275862054,480346,19532.071247434164"
New-Order,521.4118757120001,"13,9,551,0,86981,9,62804,6,84306,7,82134,5,72638,2,88085,1,65557,5,64478,5,88022,1","60,29787.65866666665,480346,19532.071247434164"
New-Order,1123.9116447426002,"8,5,2423,0,49158,7,37878,10,36848,7,36886,1,25198,8,49162,10","59,30258.6547457627,480347,19532.034746360467"
New-Order,776.4583269766399,"15,6,376,0,32614,1,22012,9,48596,7,49110,2,23505,4,34774,10","57,30365.368245614027,480349,19532.066745116597"
Payment,3462.2154000000005,,"59,30238.88084745761,480344,19532.069357939334"
New-Order,284.1840735552,"4,6,1654,0,67605,4,65268,2,89108,4,87638,2,65244,3,94838,5,78856,4,65550,4,88981,4,65572,10,89167,9,95046,3","60,29061.17083333333,480349,19532.066745116597"
New-Order,904.2006996899099,"3,7,2559,0,91501,10,88460,7,72514,1,71378,1,72787,1,96758,5,88630,6,89157,5,67926,9,94278,10,80974,4,87894,6,94931,10,71637,4","59,29545.791016949148,480349,19532.066745116597"
Payment,543.4938000000002,,"56,31999.90821428569,480340,19532.143567681247"
Payment,928.6974,,"57,30365.368245614027,480349,19532.066745116597"
Delivery,3791.875,"8,0,0","62,28739.844193548382,480350,19532.028812990557"
New-Order,696.9829302374399,"4,9,450,0,60949,10,64848,9,78789,4,88012,5,78272,9,96566,9,63378,7,73662,9,65558,9","63,28282.325555555548,480351,19531.99704936601"
Payment,1980.5472000000002,,"59,30244.394067796595,480346,19532.071247434164"
Payment,1810.9979999999998,,"61,29200.20229508196,480350,19532.028812990557"
New-Order,10681.734976153497,"15,9,2811,0,18654,2,13271,1,11486,1,6310,5,15038,6,2949,8,2668,5,2878,8,14714,5,17002,7","63,28282.325555555548,480351,19531.99704936601"
Payment,16672.1895,,"61,29184.727868852453,480349,19532.066745116597"
New-Order,14980.706138121148,"3,7,2937,0,13772,4,13334,4,15614,6,9384,5,13788,3,10822,1,2785,10,9438,9","65,27445.06184615384,480351,19531.99704936601"
Payment,740.6640000000001,,"64,27863.406874999993,480353,19531.919509569034"
New-Order,2398.0694834462793,"4,8,455,0,48142,6,54274,10,38933,7,56193,8,28502,1,30682,6,22462,7,31766,2","64,27849.45171874999,480351,19531.99704936601"
Payment,19057.8339,,"58,31363.166379310318,480335,19532.241078726325"
Stock-Level,3091.5359999999996,"15,9","59,33241.9615254237,480325,19532.275426721506"
Order-Status,21154.39,"15,2,0,ANTIATIONPRES","62,28686.840806451604,480358,19531.81968165413"
New-Order,1014.9099655632,"11,2,2558,0,92815,9,72214,10,88980,9,96038,6,96821,9,86454,4,60870,6,76797,2,72486,3,87826,9,97352,6,96854,6,95253,8","62,28687.220322580637,480355,19531.847931425746"
New-Order,894.7698074279999,"3,3,647,0,76370,9,87877,9,67286,9,93200,10,84814,9,78706,2,64470,3,89108,7,86926,2,96854,4","63,28287.48412698412,480353,19531.919509569034"
Payment,1294.0236000000002,,"60,29649.283833333327,480350,19532.028812990557"
New-Order,1808.4907516838396,"4,6,678,0,42508,3,38834,3,48629,1,51974,4,49044,5,57284,5,25523,4,56186,9,44810,2,40942,8","64,27863.884062499994,480353,19531.919509569034"
New-Order,1541.2162283272996,"15,6,1471,0,32140,9,40718,10,57324,4,59568,7,37396,1,56174,6,24968,5,32278,5","63,28572.565238095227,480355,19531.847931425746"
New-Order,1109.5801358092494,"6,9,1647,0,70690,5,95314,8,80390,6,65540,4,78414,8,88143,6,64424,9,61326,5,71989,8,85036,9,89141,4,87614,1,92946,1","63,28687.220322580637,480355,19531.847931425746"
Payment,32245.443000000003,,"60,29747.070499999983,480343,19532.108500404942"
Payment,4200.8868,,"62,28739.844193548382,480350,19532.028812990557"
